type,ambient_temperature,battery_id,test_id,Capacity
discharge,4,B0047,0,1.674304745
impedance,24,B0047,1,
charge,4,B0047,2,
impedance,24,B0047,3,
discharge,4,B0047,4,1.524366211
charge,4,B0047,5,
discharge,4,B0047,6,1.508076297
charge,4,B0047,7,
discharge,4,B0047,8,1.483557796
charge,4,B0047,9,
discharge,4,B0047,10,1.467139167
charge,4,B0047,11,
discharge,4,B0047,12,1.448858157
impedance,24,B0047,13,
charge,4,B0047,14,
impedance,24,B0047,15,
discharge,4,B0047,16,1.445853418
impedance,24,B0047,17,
charge,4,B0047,18,
impedance,24,B0047,19,
discharge,4,B0047,20,1.431118266
charge,4,B0047,21,
discharge,4,B0047,22,1.419274552
charge,4,B0047,23,
discharge,4,B0047,24,1.399997422
charge,4,B0047,25,
discharge,4,B0047,26,1.388515669
charge,4,B0047,27,
discharge,4,B0047,28,1.365223467
impedance,24,B0047,29,
charge,4,B0047,30,
impedance,24,B0047,31,
discharge,4,B0047,32,1.406044227
impedance,24,B0047,33,
charge,4,B0047,34,
impedance,24,B0047,35,
discharge,4,B0047,36,1.405754161
charge,4,B0047,37,
discharge,4,B0047,38,1.386766288
charge,4,B0047,39,
discharge,4,B0047,40,1.370505306
charge,4,B0047,41,
discharge,4,B0047,42,1.349743111
charge,4,B0047,43,
discharge,4,B0047,44,1.325153337
impedance,24,B0047,45,
charge,4,B0047,46,
impedance,24,B0047,47,
discharge,4,B0047,48,1.311194387
charge,4,B0047,49,
discharge,4,B0047,50,0
charge,4,B0047,51,
discharge,4,B0047,52,1.339423441
charge,4,B0047,53,
discharge,4,B0047,54,1.284915714
charge,4,B0047,55,
discharge,4,B0047,56,1.281719159
impedance,24,B0047,57,
charge,4,B0047,58,
impedance,24,B0047,59,
discharge,4,B0047,60,1.260005164
charge,4,B0047,61,
discharge,4,B0047,62,1.266070386
charge,4,B0047,63,
discharge,4,B0047,64,1.241359029
charge,4,B0047,65,
discharge,4,B0047,66,1.22988737
charge,4,B0047,67,
discharge,4,B0047,68,1.228088615
impedance,24,B0047,69,
charge,4,B0047,70,
impedance,24,B0047,71,
discharge,4,B0047,72,1.213985719
charge,4,B0047,73,
discharge,4,B0047,74,1.217343506
charge,4,B0047,75,
discharge,4,B0047,76,1.207344594
charge,4,B0047,77,
discharge,4,B0047,78,1.188040492
charge,4,B0047,79,
discharge,4,B0047,80,1.18630475
impedance,24,B0047,81,
charge,4,B0047,82,
impedance,24,B0047,83,
discharge,4,B0047,84,1.261393547
impedance,24,B0047,85,
charge,4,B0047,86,
impedance,24,B0047,87,
discharge,4,B0047,88,1.264824616
charge,4,B0047,89,
discharge,4,B0047,90,1.246649455
charge,4,B0047,91,
discharge,4,B0047,92,1.233392415
charge,4,B0047,93,
discharge,4,B0047,94,1.212925007
charge,4,B0047,95,
discharge,4,B0047,96,1.19991066
impedance,24,B0047,97,
charge,4,B0047,98,
impedance,24,B0047,99,
discharge,4,B0047,100,1.190255904
charge,4,B0047,101,
discharge,4,B0047,102,1.18925638
charge,4,B0047,103,
discharge,4,B0047,104,1.167069685
charge,4,B0047,105,
discharge,4,B0047,106,1.16153484
charge,4,B0047,107,
discharge,4,B0047,108,1.155556384
impedance,24,B0047,109,
charge,4,B0047,110,
impedance,24,B0047,111,
discharge,4,B0047,112,1.148852467
charge,4,B0047,113,
discharge,4,B0047,114,1.143572987
charge,4,B0047,115,
discharge,4,B0047,116,1.141801538
charge,4,B0047,117,
discharge,4,B0047,118,1.136058648
charge,4,B0047,119,
discharge,4,B0047,120,1.123636468
impedance,24,B0047,121,
charge,4,B0047,122,
impedance,24,B0047,123,
discharge,4,B0047,124,1.13204989
charge,4,B0047,125,
discharge,4,B0047,126,1.117010176
charge,4,B0047,127,
discharge,4,B0047,128,1.12004304
charge,4,B0047,129,
discharge,4,B0047,130,1.105977345
charge,4,B0047,131,
discharge,4,B0047,132,0
impedance,24,B0047,133,
